---------------------------------------------------------------------------------------------
|                                      DescribeSubnets                                      |
+------------------+-----------------+----------------------------+-------------------------+
| AvailabilityZone |    CidrBlock    |         SubnetId           |          VpcId          |
+------------------+-----------------+----------------------------+-------------------------+
|  us-east-2b      |  172.31.16.0/20 |  subnet-03a0f3ce980bd5221  |  vpc-0496b2572d51844a0  |
|  us-east-2a      |  10.1.1.0/24    |  subnet-080cf74da64560622  |  vpc-0afa64bf5579542eb  |
|  us-east-2a      |  10.1.20.0/24   |  subnet-0d84262befa6a8c16  |  vpc-0afa64bf5579542eb  |
|  us-east-2a      |  10.1.20.0/24   |  subnet-05c95a35b8209d251  |  vpc-01e885e91c54deb46  |
|  us-east-2a      |  10.1.10.0/24   |  subnet-0d23209f1df0b670c  |  vpc-0afa64bf5579542eb  |
|  us-east-2c      |  10.0.12.0/24   |  subnet-053773bbee905acd1  |  vpc-06d0d2402de4b1ff4  |
|  us-east-2c      |  10.1.3.0/24    |  subnet-0f84a07372535f731  |  vpc-01e885e91c54deb46  |
|  us-east-2b      |  10.1.2.0/24    |  subnet-0241f37e8bb913cd5  |  vpc-01e885e91c54deb46  |
|  us-east-2c      |  10.0.22.0/24   |  subnet-03a3f2171fc95eabf  |  vpc-06d0d2402de4b1ff4  |
|  us-east-2a      |  10.1.10.0/24   |  subnet-0dcd89e32d1a458c6  |  vpc-01e885e91c54deb46  |
|  us-east-2a      |  10.0.20.0/24   |  subnet-01c4c314d611fa8c6  |  vpc-06d0d2402de4b1ff4  |
|  us-east-2c      |  10.1.22.0/24   |  subnet-097d3941682c5892b  |  vpc-0afa64bf5579542eb  |
|  us-east-2a      |  172.31.0.0/20  |  subnet-0f53a0a0bfcda39ff  |  vpc-0496b2572d51844a0  |
|  us-east-2c      |  10.1.12.0/24   |  subnet-0cc9192f2fb15c084  |  vpc-0afa64bf5579542eb  |
|  us-east-2c      |  10.1.12.0/24   |  subnet-09ffebac7f8d23640  |  vpc-01e885e91c54deb46  |
|  us-east-2b      |  10.1.21.0/24   |  subnet-0f60d1f33681b971d  |  vpc-0afa64bf5579542eb  |
|  us-east-2c      |  10.1.3.0/24    |  subnet-0cd9b04713d034dd6  |  vpc-0afa64bf5579542eb  |
|  us-east-2c      |  172.31.32.0/20 |  subnet-09f30e004b49c44d1  |  vpc-0496b2572d51844a0  |
|  us-east-2b      |  10.1.11.0/24   |  subnet-07cd2dc0ec48ed16c  |  vpc-01e885e91c54deb46  |
|  us-east-2a      |  10.0.10.0/24   |  subnet-08818264d71dca515  |  vpc-06d0d2402de4b1ff4  |
|  us-east-2b      |  10.0.2.0/24    |  subnet-02fa59a631b833986  |  vpc-06d0d2402de4b1ff4  |
|  us-east-2b      |  10.1.11.0/24   |  subnet-02d6b86c59dcfbd56  |  vpc-0afa64bf5579542eb  |
|  us-east-2b      |  10.1.21.0/24   |  subnet-060fbe552c6616865  |  vpc-01e885e91c54deb46  |
|  us-east-2b      |  10.0.21.0/24   |  subnet-0e98cf16132e2a753  |  vpc-06d0d2402de4b1ff4  |
|  us-east-2b      |  10.1.2.0/24    |  subnet-0a969f703f88ba873  |  vpc-0afa64bf5579542eb  |
|  us-east-2a      |  10.0.1.0/24    |  subnet-03311b92fe39ffc66  |  vpc-06d0d2402de4b1ff4  |
|  us-east-2c      |  10.0.3.0/24    |  subnet-0ab5d23857e28d9a3  |  vpc-06d0d2402de4b1ff4  |
|  us-east-2a      |  10.1.1.0/24    |  subnet-00b8767fe1465c138  |  vpc-01e885e91c54deb46  |
|  us-east-2c      |  10.1.22.0/24   |  subnet-044b1b18ce7cf65ac  |  vpc-01e885e91c54deb46  |
|  us-east-2b      |  10.0.11.0/24   |  subnet-0c56f7ba1d05e5952  |  vpc-06d0d2402de4b1ff4  |
+------------------+-----------------+----------------------------+-------------------------+
